Day-0_pH,Day-0_TDS,Day-0_Temperature,Day-0_Turbidity,Day-0_Dissolved Oxygen,Day-0_Salinity,Day-1_pH,Day-1_TDS,Day-1_Temperature,Day-1_Turbidity,Day-1_Dissolved Oxygen,Day-1_Salinity,Day-2_pH,Day-2_TDS,Day-2_Temperature,Day-2_Turbidity,Day-2_Dissolved Oxygen,Day-2_Salinity,Day-3_pH,Day-3_TDS,Day-3_Temperature,Day-3_Turbidity,Day-3_Dissolved Oxygen,Day-3_Salinity,Day-4_pH,Day-4_TDS,Day-4_Temperature,Day-4_Turbidity,Day-4_Dissolved Oxygen,Day-4_Salinity
9.099962,1648.0623,28.351759,126.56439,3.259683,1.7195995,5.880723,1791.4073,18.62977,21.529552,7.008275,1.8060626,6.894437,1906.7357,15.483273,52.75389,8.297148,1.925377,8.783473,815.9178,28.426865,72.73878,3.081382,0.8451197,7.7136188,1018.36993,25.18823,84.40503,4.5525837,0.98486865
5.9776716,1798.2178,19.07705,23.329758,7.0986767,1.7786198,6.882715,1910.3031,15.611637,52.84327,8.204729,1.9123756,8.8245945,832.26965,28.38357,74.50803,2.9812086,0.8232571,7.792839,946.3076,25.425755,84.49342,4.6936326,0.99675494,7.512481,910.15027,25.22334,68.71108,4.4654007,0.95044935
6.84757,1888.7546,15.56713,49.926895,8.283373,1.9417764,8.845599,824.6742,28.54374,74.05574,3.0454514,0.8439087,7.7463923,1048.2922,25.28329,83.087166,4.552792,0.9744759,7.6371536,971.15295,25.974962,69.069885,4.3308034,0.9597461,7.2279515,932.9439,26.12896,78.634895,4.3893304,0.9550925
8.9833555,832.9912,28.325928,70.90002,2.9712372,0.8290672,7.788694,998.22314,25.38786,79.986176,4.7857785,0.97515225,7.646513,917.5496,26.081491,69.804436,4.353052,0.97625846,7.3118157,929.41754,25.514374,77.80786,4.2128544,0.97661966,7.848185,1037.5144,23.41467,89.328545,5.1323514,1.0991236
7.816156,1022.1251,25.487995,86.98458,4.4484715,0.9911256,7.642415,956.39246,25.422068,72.169174,4.1495867,0.9879402,7.257498,931.3919,25.47525,80.321434,4.596403,0.94788545,7.842621,1061.7795,23.679344,87.47237,5.0524454,1.056667,7.3740015,977.0022,26.65973,79.02145,4.1611156,0.9557794
